取引先CD,取引先名1,営業担当者CD,営業担当者名,集計項目CD,集計項目名
000001,株式会社ｵﾈｽﾄ,000008,新木場工場,,
000002,株式会社ADVANCE,000008,新木場工場,,
000003,有限会社青柳興業,000006,川部,000003,C（解体）
000004,ﾒｼﾞｬｰｳﾞｨｰﾅｽ･ｼﾞｬﾊﾟﾝ株式会社,000008,新木場工場,,
000005,ﾘﾊﾞｰ株式会社,000008,新木場工場,,
000006,東京産資源株式会社,000008,新木場工場,,
000007,麻生土木株式会社,000001,矢作,000004,D（建設）
000008,株式会社藤工業,000007,小林,000003,C（解体）
000009,株式会社ｸﾛｻﾜ工業,000004,山本,000003,C（解体）
000010,住吉興業株式会社,000004,山本,000004,D（建設）
000011,東京商産業株式会社,000004,山本,000002,B（残置）
000012,ｻﾄｰ運送株式会社,000007,小林,000002,B（残置）
000013,株式会社江栄,000002,渡辺,000001,A（事業）
000014,株式会社泉土木,000001,矢作,000004,D（建設）
000015,株式会社酉島製作所,000004,山本,000004,D（建設）
000016,株式会社ﾀｹｴｲ,000007,小林,000001,A（事業）
000017,株式会社共同土木,000008,新木場工場,,
000018,有限会社ｱｰｸ,000003,蛯子,000004,D（建設）
000019,有限会社山口商店,000004,山本,000001,A（事業）
000020,株式会社環境整備,000006,川部,000001,A（事業）
000021,株式会社ｼﾑﾗ,000007,小林,000005,E（中・積)
000022,学校法人 中央大学,000002,渡辺,000002,B（残置）
000023,株式会社ｼﾝｼｱ,000004,山本,000002,B（残置）
000024,ECﾃｸﾉｽ株式会社,000004,山本,000004,D（建設）
000025,株式会社五十嵐商会,000002,渡辺,000001,A（事業）
000026,株式会社日本政策金融公庫,000002,渡辺,000001,A（事業）
000027,株式会社NTTﾌｧｼﾘﾃｨｰｽﾞ,000002,渡辺,000001,A（事業）
000028,公益財団法人 東京都環境公社,000002,渡辺,000002,B（残置）
000029,有限会社富士商事,000004,山本,000004,D（建設）
000030,有限会社ｱﾙﾌｧｶｰｺﾞ,000009,新木場ヤード,,
000031,株式会社日本ﾄﾞﾗｲ,000003,蛯子,000006,F（他）
000032,株式会社宮崎,000008,新木場工場,,
000033,株式会社TOAｼﾌﾞﾙ,000004,山本,000002,B（残置）
000034,株式会社中村鐵工所,000004,山本,000004,D（建設）
000035,竹山商事株式会社東京支店,000008,新木場工場,,
000036,株式会社和科盛商会,000005,今村（紀）,000005,E（中・積)
000037,株式会社翼工業,000004,山本,000003,C（解体）
000038,株式会社宮本,000005,今村（紀）,000005,E（中・積)
000039,第一生命保険株式会社,000002,渡辺,000002,B（残置）
000040,中央区役所,000007,小林,000006,F（他）
000041,有限会社加藤好大商店,000004,山本,000002,B（残置）
000042,有限会社新光家具,000005,今村（紀）,000005,E（中・積)
000043,野呂商店,000005,今村（紀）,000003,C（解体）
000045,株式会社小早川運輸,000002,渡辺,000001,A（事業）
000046,鈴村梱包運輸株式会社,000005,今村（紀）,000002,B（残置）
000047,有限会社ﾜｲｽﾞ,000005,今村（紀）,000003,C（解体）
000048,松本商事株式会社,000005,今村（紀）,000005,E（中・積)
000049,ﾌﾟﾛﾃｸﾄ株式会社,000005,今村（紀）,000005,E（中・積)
000050,有限会社芝商会,000007,小林,000001,A（事業）
000051,那須興産株式会社,000002,渡辺,000005,E（中・積)
000052,株式会社鈴亀,000002,渡辺,000005,E（中・積)
000053,株式会社ｸﾘｰﾝﾀｳﾝｻｰﾋﾞｽ,000005,今村（紀）,000004,D（建設）
000054,飯坂電業株式会社,000007,小林,000003,C（解体）
000055,有限会社真和商事,000002,渡辺,000002,B（残置）
000056,"日本ｻﾆﾊﾟｯｸ株式会社 ",000002,渡辺,000002,B（残置）
000057,鈴木運輸株式会社,000002,渡辺,000004,D（建設）
000058,株式会社服部運輸,000006,川部,000001,A（事業）
000059,有限会社三雲商店,000007,小林,000002,B（残置）
000060,有限会社ﾖｼｶﾜ,000005,今村（紀）,000002,B（残置）
000061,株式会社横田住建,000007,小林,000002,B（残置）
