date,total_customer_count,fixed_customer_count,fixed_customer_ratio
2023-01-04,19,0,0.0
2023-01-05,54,35,0.648148
2023-01-06,57,40,0.701754
2023-01-07,53,30,0.566038
2023-01-08,18,9,0.5
2023-01-09,29,17,0.586207
2023-01-10,64,40,0.625
2023-01-11,64,35,0.546875
2023-01-12,61,36,0.590164
2023-01-13,70,40,0.571429
2023-01-14,56,31,0.553571
2023-01-15,18,9,0.5
2023-01-16,53,35,0.660377
2023-01-17,70,41,0.585714
2023-01-18,66,35,0.530303
2023-01-19,66,36,0.545455
2023-01-20,70,40,0.571429
2023-01-21,46,30,0.652174
2023-01-22,16,9,0.5625
2023-01-23,55,36,0.654545
2023-01-24,68,40,0.588235
2023-01-25,61,34,0.557377
2023-01-26,75,36,0.48
2023-01-27,76,40,0.526316
2023-01-28,60,32,0.533333
2023-01-29,25,11,0.44
2023-01-30,60,36,0.6
2023-01-31,77,41,0.532468
2023-02-01,64,35,0.546875
2023-02-02,58,36,0.62069
2023-02-03,65,40,0.615385
2023-02-04,63,31,0.492063
2023-02-05,21,10,0.47619
2023-02-06,64,36,0.5625
2023-02-07,75,41,0.546667
2023-02-08,69,35,0.507246
2023-02-09,62,36,0.580645
2023-02-10,69,41,0.594203
2023-02-11,42,16,0.380952
2023-02-13,65,35,0.538462
2023-02-14,68,42,0.617647
2023-02-15,65,35,0.538462
2023-02-16,72,36,0.5
2023-02-17,69,40,0.57971
2023-02-18,64,30,0.46875
2023-02-19,18,10,0.555556
2023-02-20,63,35,0.555556
2023-02-21,71,40,0.56338
2023-02-22,65,35,0.538462
2023-02-23,52,15,0.288462
2023-02-24,72,39,0.541667
2023-02-25,57,31,0.54386
2023-02-26,23,10,0.434783
2023-02-27,63,35,0.555556
2023-02-28,74,40,0.540541
2023-04-01,57,31,0.54386
2023-04-02,23,10,0.434783
2023-04-03,63,35,0.555556
2023-04-04,71,40,0.56338
2023-04-05,66,35,0.530303
2023-04-06,77,36,0.467532
2023-04-07,68,40,0.588235
2023-04-08,48,31,0.645833
2023-04-10,54,35,0.648148
2023-04-11,65,41,0.630769
2023-04-12,65,35,0.538462
2023-04-13,59,36,0.610169
2023-04-14,65,41,0.630769
2023-04-15,58,31,0.534483
2023-04-16,19,11,0.578947
2023-04-17,63,35,0.555556
2023-04-18,73,40,0.547945
2023-04-19,65,35,0.538462
2023-04-20,65,37,0.569231
2023-04-21,74,41,0.554054
2023-04-22,50,31,0.62
2023-04-23,18,10,0.555556
2023-04-24,64,35,0.546875
2023-04-25,70,41,0.585714
2023-04-26,68,36,0.529412
2023-04-27,67,36,0.537313
2023-04-28,70,39,0.557143
2023-04-29,62,15,0.241935
2023-04-30,24,10,0.416667
2023-05-01,69,33,0.478261
2023-05-02,80,39,0.4875
2023-05-06,54,31,0.574074
2023-05-07,23,11,0.478261
2023-05-08,53,35,0.660377
2023-05-09,70,43,0.614286
2023-05-10,71,36,0.507042
2023-05-11,61,36,0.590164
2023-05-12,65,40,0.615385
2023-05-13,51,32,0.627451
2023-05-14,25,10,0.4
2023-05-15,53,35,0.660377
2023-05-16,71,48,0.676056
2023-05-17,71,37,0.521127
2023-05-18,54,38,0.703704
2023-05-19,67,40,0.597015
2023-05-20,56,33,0.589286
2023-05-21,24,10,0.416667
2023-05-22,59,36,0.610169
2023-05-23,75,42,0.56
2023-05-24,80,35,0.4375
2023-05-25,66,36,0.545455
2023-05-26,67,40,0.597015
2023-05-27,53,31,0.584906
2023-05-28,31,11,0.354839
2023-05-29,63,39,0.619048
2023-05-30,65,41,0.630769
2023-05-31,69,38,0.550725
2023-06-01,59,36,0.610169
2023-06-02,61,41,0.672131
2023-06-03,54,31,0.574074
2023-06-04,19,10,0.526316
2023-06-05,57,35,0.614035
2023-06-06,72,42,0.583333
2023-06-07,69,35,0.507246
2023-06-08,62,36,0.580645
2023-06-09,78,40,0.512821
2023-06-10,51,31,0.607843
2023-06-12,63,34,0.539683
2023-06-13,64,40,0.625
2023-06-14,60,35,0.583333
2023-06-15,58,36,0.62069
2023-06-16,67,41,0.61194
2023-06-17,49,31,0.632653
2023-06-18,23,10,0.434783
2023-06-19,60,36,0.6
2023-06-20,71,42,0.591549
2023-06-21,71,39,0.549296
2023-06-22,62,35,0.564516
2023-06-23,61,40,0.655738
2023-06-24,52,31,0.596154
2023-06-25,20,11,0.55
2023-06-26,58,37,0.637931
2023-06-27,71,41,0.577465
2023-06-28,63,35,0.555556
2023-06-29,62,36,0.580645
2023-06-30,72,40,0.555556
2023-07-01,57,30,0.526316
2023-07-02,19,10,0.526316
2023-07-03,57,34,0.596491
2023-07-04,67,42,0.626866
2023-07-05,64,36,0.5625
2023-07-06,71,36,0.507042
2023-07-07,68,40,0.588235
2023-07-08,59,31,0.525424
2023-07-10,58,34,0.586207
2023-07-11,70,41,0.585714
2023-07-12,64,35,0.546875
2023-07-13,66,36,0.545455
2023-07-14,64,40,0.625
2023-07-15,57,30,0.526316
2023-07-16,24,14,0.583333
2023-07-17,31,16,0.516129
2023-07-18,62,43,0.693548
2023-07-19,68,38,0.558824
2023-07-20,73,36,0.493151
2023-07-21,74,40,0.540541
2023-07-22,52,31,0.596154
2023-07-23,25,14,0.56
2023-07-24,63,34,0.539683
2023-07-25,75,41,0.546667
2023-07-26,69,35,0.507246
2023-07-27,67,36,0.537313
2023-07-28,68,40,0.588235
2023-07-29,48,32,0.666667
2023-07-30,27,13,0.481481
2023-07-31,57,34,0.596491
2023-08-01,69,43,0.623188
2023-08-02,57,36,0.631579
2023-08-03,70,36,0.514286
