date,reserve_count,reserve_sum,fixed_ratio
2023-01-04,19.0,31.0,0.0
2023-01-05,54.0,67.0,0.6481481481481481
2023-01-06,57.0,72.0,0.7017543859649122
2023-01-07,53.0,74.0,0.5660377358490566
2023-01-08,18.0,32.0,0.5
2023-01-09,29.0,41.0,0.5862068965517241
2023-01-10,64.0,84.0,0.625
2023-01-11,64.0,89.0,0.546875
2023-01-12,61.0,89.0,0.5901639344262295
2023-01-13,70.0,100.0,0.5714285714285714
2023-01-14,56.0,83.0,0.5535714285714286
2023-01-15,18.0,31.0,0.5
2023-01-16,53.0,79.0,0.660377358490566
2023-01-17,70.0,93.0,0.5857142857142857
2023-01-18,66.0,91.0,0.5303030303030303
2023-01-19,66.0,98.0,0.5454545454545454
2023-01-20,70.0,101.0,0.5714285714285714
2023-01-21,46.0,68.0,0.6521739130434783
2023-01-22,16.0,28.0,0.5625
2023-01-23,55.0,77.0,0.6545454545454545
2023-01-24,68.0,95.0,0.5882352941176471
2023-01-25,61.0,89.0,0.5573770491803278
2023-01-26,75.0,117.0,0.48
2023-01-27,76.0,104.0,0.5263157894736842
2023-01-28,60.0,97.0,0.5333333333333333
2023-01-29,25.0,45.0,0.44
2023-01-30,60.0,88.0,0.6
2023-01-31,77.0,101.0,0.5324675324675324
2023-02-01,64.0,87.0,0.546875
2023-02-02,58.0,82.0,0.6206896551724138
2023-02-03,65.0,86.0,0.6153846153846154
2023-02-04,63.0,86.0,0.49206349206349204
2023-02-05,21.0,37.0,0.47619047619047616
2023-02-06,64.0,86.0,0.5625
2023-02-07,75.0,91.0,0.5466666666666666
2023-02-08,69.0,95.0,0.5072463768115942
2023-02-09,62.0,95.0,0.5806451612903226
2023-02-10,69.0,98.0,0.5942028985507246
2023-02-11,42.0,74.0,0.38095238095238093
2023-02-13,65.0,86.0,0.5384615384615384
2023-02-14,68.0,90.0,0.6176470588235294
2023-02-15,65.0,88.0,0.5384615384615384
2023-02-16,72.0,100.0,0.5
2023-02-17,69.0,93.0,0.5797101449275363
2023-02-18,64.0,103.0,0.46875
2023-02-19,18.0,36.0,0.5555555555555556
2023-02-20,63.0,90.0,0.5555555555555556
2023-02-21,71.0,104.0,0.5633802816901409
2023-02-22,65.0,98.0,0.5384615384615384
2023-02-23,52.0,95.0,0.28846153846153844
2023-02-24,72.0,93.0,0.5416666666666666
2023-02-25,57.0,89.0,0.543859649122807
2023-02-26,23.0,41.0,0.43478260869565216
2023-02-27,63.0,93.0,0.5555555555555556
2023-02-28,74.0,115.0,0.5405405405405406
2023-04-01,57.0,78.0,0.543859649122807
2023-04-02,23.0,43.0,0.43478260869565216
2023-04-03,63.0,82.0,0.5555555555555556
2023-04-04,71.0,91.0,0.5633802816901409
2023-04-05,66.0,84.0,0.5303030303030303
2023-04-06,77.0,103.0,0.4675324675324675
2023-04-07,68.0,97.0,0.5882352941176471
2023-04-08,48.0,75.0,0.6458333333333334
2023-04-10,54.0,79.0,0.6481481481481481
2023-04-11,65.0,85.0,0.6307692307692307
2023-04-12,65.0,90.0,0.5384615384615384
2023-04-13,59.0,78.0,0.6101694915254238
2023-04-14,65.0,94.0,0.6307692307692307
2023-04-15,58.0,83.0,0.5344827586206896
2023-04-16,19.0,45.0,0.5789473684210527
2023-04-17,63.0,88.0,0.5555555555555556
2023-04-18,73.0,110.0,0.547945205479452
2023-04-19,65.0,98.0,0.5384615384615384
2023-04-20,65.0,95.0,0.5692307692307692
2023-04-21,74.0,104.0,0.5540540540540541
2023-04-22,50.0,81.0,0.62
2023-04-23,18.0,44.0,0.5555555555555556
2023-04-24,64.0,99.0,0.546875
2023-04-25,70.0,100.0,0.5857142857142857
2023-04-26,68.0,97.0,0.5294117647058824
2023-04-27,67.0,100.0,0.5373134328358209
2023-04-28,70.0,104.0,0.5571428571428572
2023-04-29,62.0,97.0,0.24193548387096775
2023-04-30,24.0,45.0,0.4166666666666667
2023-05-01,69.0,90.0,0.4782608695652174
2023-05-02,80.0,114.0,0.4875
2023-05-06,54.0,88.0,0.5740740740740741
2023-05-07,23.0,39.0,0.4782608695652174
2023-05-08,53.0,72.0,0.660377358490566
2023-05-09,70.0,100.0,0.6142857142857143
2023-05-10,71.0,97.0,0.5070422535211268
2023-05-11,61.0,86.0,0.5901639344262295
2023-05-12,65.0,87.0,0.6153846153846154
2023-05-13,51.0,75.0,0.6274509803921569
2023-05-14,25.0,47.0,0.4
2023-05-15,53.0,69.0,0.660377358490566
2023-05-16,71.0,87.0,0.676056338028169
2023-05-17,71.0,90.0,0.5211267605633803
2023-05-18,54.0,78.0,0.7037037037037037
2023-05-19,67.0,92.0,0.5970149253731343
2023-05-20,56.0,82.0,0.5892857142857143
2023-05-21,24.0,40.0,0.4166666666666667
2023-05-22,59.0,82.0,0.6101694915254238
2023-05-23,75.0,103.0,0.56
2023-05-24,80.0,103.0,0.4375
2023-05-25,66.0,88.0,0.5454545454545454
2023-05-26,67.0,91.0,0.5970149253731343
2023-05-27,53.0,85.0,0.5849056603773585
2023-05-28,31.0,47.0,0.3548387096774194
2023-05-29,63.0,84.0,0.6190476190476191
2023-05-30,65.0,89.0,0.6307692307692307
2023-05-31,69.0,87.0,0.5507246376811594
2023-06-01,59.0,81.0,0.6101694915254238
2023-06-02,61.0,79.0,0.6721311475409836
2023-06-03,54.0,76.0,0.5740740740740741
